IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.229.243,4,4,0.00,96.48,88.37,NRT
172.64.229.17,4,4,0.00,97.61,87.02,NRT
172.64.229.174,4,4,0.00,95.09,86.69,NRT
172.64.229.182,4,4,0.00,97.25,86.29,NRT
172.64.229.214,4,4,0.00,97.13,85.07,NRT
172.64.229.251,4,4,0.00,96.52,84.91,NRT
172.64.229.50,4,4,0.00,96.21,84.86,NRT
172.64.229.121,4,4,0.00,95.02,84.71,NRT
172.64.229.226,4,4,0.00,96.93,84.61,NRT
172.64.229.2,4,4,0.00,95.69,83.79,NRT
172.64.229.227,4,4,0.00,96.23,83.41,NRT
172.64.229.178,4,4,0.00,96.96,83.14,NRT
172.64.229.83,4,4,0.00,96.75,82.34,NRT
172.64.229.25,4,4,0.00,97.05,81.72,NRT
172.64.229.127,4,4,0.00,97.02,81.56,NRT
172.64.229.28,4,4,0.00,93.94,81.14,NRT
172.64.229.225,4,4,0.00,97.55,80.99,NRT
172.64.229.132,4,4,0.00,97.26,80.53,NRT
172.64.229.167,4,4,0.00,96.33,79.89,NRT
172.64.229.190,4,4,0.00,97.18,79.81,NRT
172.64.229.52,4,4,0.00,97.53,79.61,NRT
172.64.229.60,4,4,0.00,97.24,79.10,NRT
172.64.229.230,4,4,0.00,96.40,78.61,NRT
172.64.229.26,4,4,0.00,97.12,78.47,NRT
172.64.229.55,4,4,0.00,93.69,78.04,NRT
172.64.229.134,4,4,0.00,96.70,76.97,NRT
172.64.229.44,4,4,0.00,97.24,76.61,NRT
172.64.229.227,4,4,0.00,97.64,75.29,NRT
172.64.229.254,4,4,0.00,95.24,75.14,NRT
172.64.229.9,4,4,0.00,97.33,74.58,NRT
172.64.229.8,4,4,0.00,97.10,73.83,NRT
172.64.229.134,4,4,0.00,97.59,73.15,NRT
172.64.229.161,4,4,0.00,96.72,73.03,NRT
172.64.229.100,4,4,0.00,97.57,72.71,NRT
172.64.229.241,4,4,0.00,97.59,70.96,NRT
172.64.229.190,4,4,0.00,96.39,70.69,NRT
172.64.229.253,4,4,0.00,96.50,67.05,NRT
172.64.229.18,4,4,0.00,97.59,64.81,NRT
172.64.229.155,4,4,0.00,97.13,61.91,NRT
