IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.145.21,4,4,0.00,109.38,125.82,SIN
104.18.41.44,4,4,0.00,108.23,124.20,SIN
172.64.229.10,4,4,0.00,96.43,123.25,NRT
172.64.229.16,4,3,0.25,92.09,123.03,NRT
172.64.229.11,4,4,0.00,94.32,122.96,NRT
172.64.151.159,4,4,0.00,110.35,122.75,SIN
172.64.152.222,4,4,0.00,101.20,121.70,SIN
8.35.211.104,4,4,0.00,107.74,121.07,SIN
172.64.158.28,4,4,0.00,113.19,119.50,SIN
172.64.229.82,4,4,0.00,92.41,118.59,NRT
172.64.144.166,4,4,0.00,109.93,118.32,SIN
172.64.229.67,4,4,0.00,98.86,117.91,NRT
104.18.32.51,4,4,0.00,107.75,117.65,SIN
172.64.144.139,4,4,0.00,108.98,115.41,SIN
172.64.229.8,4,4,0.00,95.93,115.24,NRT
172.64.229.18,4,4,0.00,96.66,114.05,NRT
104.18.36.128,4,4,0.00,110.37,113.62,SIN
172.64.229.20,4,4,0.00,95.07,113.51,NRT
172.64.229.72,4,4,0.00,96.57,111.80,NRT
172.64.229.62,4,4,0.00,93.90,110.96,NRT
172.64.148.68,4,4,0.00,108.07,110.91,SIN
172.64.229.206,4,4,0.00,98.92,108.83,NRT
172.64.229.154,4,4,0.00,100.96,108.71,NRT
172.64.229.23,4,4,0.00,96.71,105.93,NRT
172.64.150.158,4,4,0.00,107.38,102.48,SIN
8.39.125.96,4,4,0.00,112.10,102.46,SIN
172.64.229.47,4,4,0.00,96.21,102.37,NRT
172.64.229.188,4,4,0.00,98.03,102.34,NRT
104.18.46.1,4,4,0.00,106.90,99.23,SIN
172.64.229.19,4,4,0.00,94.77,99.08,NRT
172.64.229.88,4,4,0.00,96.35,99.01,NRT
172.64.229.3,4,4,0.00,94.68,97.17,NRT
172.64.144.237,4,4,0.00,111.81,96.87,SIN
172.64.229.221,4,3,0.25,94.65,95.51,NRT
172.64.229.40,4,4,0.00,93.89,94.57,NRT
172.64.229.63,4,4,0.00,96.65,94.27,NRT
172.64.229.52,4,4,0.00,94.24,94.15,NRT
172.64.229.5,4,4,0.00,97.98,91.95,NRT
172.64.229.25,4,4,0.00,97.91,91.21,NRT
172.64.229.48,4,4,0.00,97.62,89.78,NRT
172.64.147.148,4,4,0.00,105.19,89.76,SIN
104.18.36.220,4,4,0.00,106.80,86.11,SIN
172.64.148.36,4,4,0.00,106.77,84.83,SIN
172.64.153.42,4,4,0.00,111.73,84.11,SIN
172.64.229.1,4,4,0.00,96.22,83.56,NRT
172.64.229.21,4,4,0.00,95.84,83.38,NRT
172.64.158.146,4,4,0.00,112.18,83.28,SIN
172.64.229.55,4,3,0.25,97.18,82.25,NRT
172.64.144.165,4,4,0.00,118.50,79.85,SIN
172.64.144.6,4,4,0.00,111.50,76.44,SIN
8.39.125.108,4,4,0.00,113.09,75.27,SIN
172.64.155.74,4,4,0.00,103.85,72.17,SIN
108.162.192.218,4,4,0.00,108.50,0.00,N/A
172.64.47.94,4,4,0.00,109.70,0.00,N/A
162.159.11.4,4,4,0.00,107.60,0.00,N/A
172.64.48.62,4,4,0.00,107.66,0.00,N/A
172.64.35.130,4,4,0.00,107.68,0.00,N/A
162.159.27.107,4,4,0.00,107.53,0.00,N/A
172.64.38.112,4,4,0.00,107.50,0.00,N/A
172.64.38.152,4,4,0.00,107.78,0.00,N/A
198.41.222.141,4,4,0.00,107.79,0.00,N/A
162.159.13.171,4,4,0.00,107.84,0.00,N/A
172.64.41.78,4,4,0.00,107.85,0.00,N/A
162.159.10.85,4,4,0.00,107.87,0.00,N/A
162.159.60.142,4,4,0.00,107.96,0.00,N/A
162.159.58.219,4,4,0.00,108.01,0.00,N/A
162.159.33.45,4,4,0.00,107.43,0.00,N/A
162.159.36.174,4,4,0.00,108.17,0.00,N/A
162.159.58.3,4,4,0.00,107.20,0.00,N/A
162.159.61.126,4,4,0.00,108.26,0.00,N/A
162.159.46.95,4,4,0.00,108.28,0.00,N/A
162.159.11.146,4,4,0.00,108.32,0.00,N/A
172.64.35.164,4,4,0.00,108.39,0.00,N/A
172.64.32.68,4,4,0.00,108.46,0.00,N/A
108.162.195.188,4,4,0.00,107.14,0.00,N/A
162.159.57.53,4,4,0.00,108.60,0.00,N/A
162.159.12.76,4,4,0.00,108.61,0.00,N/A
162.159.43.165,4,4,0.00,108.61,0.00,N/A
198.41.223.117,4,4,0.00,108.64,0.00,N/A
172.64.43.222,4,4,0.00,108.74,0.00,N/A
162.159.25.219,4,4,0.00,108.78,0.00,N/A
162.159.43.192,4,4,0.00,108.80,0.00,N/A
162.159.33.227,4,4,0.00,108.81,0.00,N/A
172.64.50.129,4,4,0.00,108.88,0.00,N/A
172.64.50.219,4,4,0.00,108.93,0.00,N/A
162.159.43.81,4,4,0.00,107.10,0.00,N/A
172.64.42.33,4,4,0.00,109.03,0.00,N/A
172.64.34.115,4,4,0.00,109.03,0.00,N/A
172.64.32.242,4,4,0.00,109.11,0.00,N/A
162.159.35.37,4,4,0.00,109.11,0.00,N/A
162.159.14.27,4,4,0.00,109.13,0.00,N/A
108.162.194.147,4,4,0.00,109.15,0.00,N/A
162.159.20.65,4,4,0.00,109.28,0.00,N/A
