IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
8.35.211.187,10,10,0.00,108.86,74.52,SIN
172.64.229.135,10,10,0.00,98.80,71.91,NRT
104.27.70.43,10,10,0.00,170.97,64.24,FRA
8.35.211.236,10,10,0.00,108.33,62.22,SIN
8.35.211.225,10,10,0.00,108.90,59.36,SIN
172.66.163.73,10,9,0.10,176.50,51.52,FRA
104.24.238.76,10,10,0.00,169.32,50.89,FRA
104.25.25.125,10,8,0.20,180.33,49.53,FRA
172.66.155.124,10,10,0.00,170.20,48.45,FRA
104.27.78.30,10,10,0.00,172.32,48.02,FRA
172.66.170.119,10,9,0.10,175.09,45.21,FRA
104.20.10.159,10,8,0.20,172.11,33.57,FRA
104.25.40.53,10,10,0.00,185.13,32.56,FRA
104.24.168.254,10,10,0.00,169.06,30.38,FRA
104.24.129.30,10,10,0.00,171.67,26.93,FRA
104.24.94.231,10,10,0.00,174.96,25.35,FRA
104.25.19.113,10,9,0.10,169.79,9.85,FRA
104.20.22.142,10,8,0.20,180.54,6.93,FRA
104.27.118.7,10,9,0.10,175.40,4.01,FRA
104.27.82.253,10,9,0.10,168.76,2.12,FRA
