IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
8.217.168.149,4,4,0.00,58.04,0.00,N/A
8.218.70.238,4,4,0.00,62.16,0.00,N/A
8.212.65.162,4,4,0.00,65.89,0.00,N/A
47.242.218.87,4,4,0.00,67.15,0.00,N/A
8.212.41.98,4,4,0.00,67.59,0.00,N/A
8.212.14.90,4,4,0.00,68.18,0.00,N/A
47.57.181.17,4,4,0.00,68.60,0.00,N/A
146.56.96.206,4,4,0.00,75.12,0.00,N/A
146.56.110.3,4,4,0.00,75.23,0.00,N/A
138.2.122.191,4,4,0.00,78.45,0.00,N/A
144.24.88.177,4,4,0.00,79.85,0.00,N/A
129.154.51.236,4,4,0.00,83.42,0.00,N/A
47.74.155.26,4,4,0.00,100.22,0.00,N/A
131.186.42.153,4,4,0.00,125.63,0.00,N/A
150.230.200.85,4,4,0.00,128.12,0.00,N/A
150.230.106.66,4,4,0.00,130.74,0.00,N/A
155.248.184.204,4,4,0.00,133.09,0.00,N/A
141.147.182.100,4,4,0.00,133.11,0.00,N/A
150.230.195.39,4,4,0.00,133.35,0.00,N/A
132.226.5.213,4,4,0.00,133.87,0.00,N/A
155.248.178.95,4,4,0.00,134.67,0.00,N/A
155.248.160.5,4,4,0.00,135.74,0.00,N/A
138.3.218.212,4,4,0.00,135.96,0.00,N/A
150.230.204.132,4,4,0.00,136.74,0.00,N/A
131.186.36.106,4,4,0.00,137.33,0.00,N/A
150.230.97.14,4,4,0.00,137.57,0.00,N/A
155.248.163.123,4,4,0.00,138.35,0.00,N/A
155.248.178.60,4,4,0.00,140.79,0.00,N/A
150.230.198.167,4,4,0.00,141.24,0.00,N/A
155.248.186.74,4,4,0.00,142.31,0.00,N/A
131.186.38.162,4,4,0.00,143.61,0.00,N/A
141.147.182.244,4,4,0.00,144.64,0.00,N/A
141.147.179.103,4,4,0.00,145.38,0.00,N/A
140.238.58.181,4,4,0.00,147.57,0.00,N/A
138.2.235.224,4,4,0.00,170.52,0.00,N/A
47.254.86.133,4,4,0.00,175.52,0.00,N/A
130.162.61.18,4,4,0.00,175.67,0.00,N/A
141.147.47.32,4,4,0.00,181.15,0.00,N/A
138.2.132.160,4,4,0.00,181.20,0.00,N/A
130.162.209.188,4,4,0.00,183.27,0.00,N/A
144.24.174.149,4,4,0.00,183.97,0.00,N/A
132.226.199.91,4,4,0.00,187.17,0.00,N/A
129.153.203.62,4,4,0.00,189.69,0.00,N/A
47.251.95.178,4,4,0.00,191.22,0.00,N/A
47.254.22.131,4,4,0.00,192.43,0.00,N/A
150.230.63.93,4,4,0.00,192.54,0.00,N/A
64.110.104.30,4,4,0.00,192.62,0.00,N/A
141.147.147.180,4,4,0.00,194.28,0.00,N/A
168.138.46.67,4,4,0.00,196.35,0.00,N/A
140.83.61.244,4,4,0.00,197.35,0.00,N/A
132.145.245.100,4,4,0.00,197.46,0.00,N/A
138.2.36.157,4,4,0.00,197.76,0.00,N/A
141.148.187.195,4,4,0.00,205.19,0.00,N/A
141.148.230.89,4,4,0.00,219.43,0.00,N/A
150.230.22.224,4,4,0.00,220.65,0.00,N/A
141.144.198.131,4,4,0.00,220.97,0.00,N/A
8.222.223.112,4,4,0.00,221.03,0.00,N/A
8.222.213.251,4,4,0.00,221.04,0.00,N/A
143.47.185.27,4,4,0.00,221.69,0.00,N/A
8.222.188.61,4,4,0.00,223.70,0.00,N/A
8.219.236.218,4,4,0.00,224.03,0.00,N/A
8.219.255.49,4,4,0.00,224.89,0.00,N/A
141.148.245.210,4,4,0.00,225.72,0.00,N/A
8.219.254.1,4,4,0.00,226.65,0.00,N/A
8.222.169.19,4,4,0.00,227.02,0.00,N/A
8.222.165.104,4,4,0.00,227.47,0.00,N/A
143.47.189.30,4,4,0.00,228.34,0.00,N/A
8.222.146.123,4,4,0.00,228.57,0.00,N/A
8.219.77.141,4,4,0.00,228.65,0.00,N/A
8.222.139.227,4,4,0.00,228.72,0.00,N/A
8.222.202.182,4,4,0.00,228.84,0.00,N/A
144.21.43.34,4,4,0.00,229.01,0.00,N/A
8.219.153.31,4,4,0.00,237.38,0.00,N/A
47.253.171.149,4,4,0.00,239.55,0.00,N/A
144.21.33.1,4,4,0.00,239.88,0.00,N/A
193.123.35.178,4,4,0.00,241.52,0.00,N/A
152.70.54.5,4,4,0.00,243.14,0.00,N/A
141.144.198.93,4,4,0.00,245.92,0.00,N/A
141.148.229.106,4,4,0.00,246.00,0.00,N/A
141.144.203.203,4,4,0.00,247.80,0.00,N/A
150.136.87.192,4,4,0.00,248.27,0.00,N/A
144.21.42.2,4,4,0.00,251.30,0.00,N/A
168.138.185.234,4,4,0.00,254.68,0.00,N/A
152.69.209.132,4,4,0.00,257.44,0.00,N/A
130.162.174.117,4,4,0.00,261.97,0.00,N/A
130.162.163.93,4,4,0.00,263.41,0.00,N/A
129.151.198.3,4,4,0.00,263.90,0.00,N/A
150.230.121.114,4,4,0.00,265.55,0.00,N/A
141.147.71.187,4,4,0.00,266.94,0.00,N/A
150.230.118.203,4,4,0.00,268.09,0.00,N/A
141.147.64.114,4,4,0.00,268.81,0.00,N/A
143.47.235.216,4,4,0.00,269.66,0.00,N/A
8.219.83.98,4,4,0.00,270.69,0.00,N/A
150.230.123.106,4,4,0.00,271.05,0.00,N/A
143.47.247.120,4,4,0.00,272.40,0.00,N/A
168.138.165.174,4,4,0.00,274.72,0.00,N/A
141.147.84.221,4,4,0.00,275.16,0.00,N/A
152.67.142.42,4,4,0.00,277.16,0.00,N/A
138.2.107.107,4,4,0.00,278.17,0.00,N/A
158.180.231.216,4,4,0.00,288.97,0.00,N/A
152.67.140.249,4,4,0.00,292.25,0.00,N/A
152.70.234.185,4,4,0.00,307.44,0.00,N/A
140.238.31.168,4,4,0.00,313.05,0.00,N/A
146.56.183.109,4,4,0.00,314.70,0.00,N/A
129.154.202.229,4,4,0.00,314.85,0.00,N/A
193.123.254.142,4,4,0.00,316.29,0.00,N/A
140.238.201.118,4,4,0.00,319.20,0.00,N/A
152.70.240.162,4,4,0.00,319.62,0.00,N/A
152.70.253.44,4,4,0.00,320.48,0.00,N/A
192.9.180.162,4,4,0.00,325.29,0.00,N/A
132.226.16.97,4,4,0.00,325.61,0.00,N/A
132.145.87.184,4,4,0.00,325.95,0.00,N/A
144.22.252.124,4,4,0.00,361.00,0.00,N/A
141.148.203.6,4,4,0.00,388.10,0.00,N/A
152.67.190.105,4,4,0.00,399.21,0.00,N/A
193.123.163.240,4,3,0.25,124.08,0.00,N/A
138.3.218.149,4,3,0.25,126.20,0.00,N/A
150.230.198.178,4,3,0.25,128.28,0.00,N/A
150.230.205.41,4,3,0.25,128.43,0.00,N/A
158.101.88.13,4,3,0.25,130.28,0.00,N/A
138.2.23.250,4,3,0.25,130.73,0.00,N/A
155.248.183.39,4,3,0.25,130.80,0.00,N/A
155.248.171.251,4,3,0.25,131.52,0.00,N/A
150.230.216.220,4,3,0.25,132.37,0.00,N/A
131.186.35.227,4,3,0.25,133.05,0.00,N/A
138.2.20.151,4,3,0.25,133.67,0.00,N/A
132.145.119.205,4,3,0.25,134.15,0.00,N/A
158.101.90.121,4,3,0.25,134.54,0.00,N/A
138.2.21.47,4,3,0.25,136.06,0.00,N/A
141.147.172.69,4,3,0.25,136.42,0.00,N/A
150.230.210.9,4,3,0.25,136.58,0.00,N/A
155.248.182.161,4,3,0.25,137.89,0.00,N/A
140.83.34.144,4,3,0.25,139.13,0.00,N/A
132.226.14.102,4,3,0.25,139.27,0.00,N/A
155.248.178.118,4,3,0.25,139.66,0.00,N/A
150.230.205.185,4,3,0.25,140.06,0.00,N/A
155.248.170.249,4,3,0.25,140.53,0.00,N/A
141.147.191.245,4,3,0.25,141.50,0.00,N/A
141.147.188.120,4,3,0.25,142.10,0.00,N/A
158.101.70.112,4,3,0.25,145.49,0.00,N/A
155.248.169.118,4,3,0.25,150.61,0.00,N/A
168.138.212.80,4,3,0.25,152.11,0.00,N/A
193.122.58.158,4,3,0.25,170.71,0.00,N/A
138.2.175.249,4,3,0.25,180.69,0.00,N/A
141.147.59.209,4,3,0.25,183.18,0.00,N/A
141.144.199.177,4,3,0.25,197.05,0.00,N/A
8.220.134.136,4,3,0.25,230.52,0.00,N/A
158.101.208.35,4,3,0.25,243.83,0.00,N/A
141.144.197.136,4,3,0.25,247.16,0.00,N/A
141.148.235.197,4,3,0.25,247.22,0.00,N/A
152.70.59.138,4,3,0.25,250.53,0.00,N/A
168.138.184.172,4,3,0.25,251.80,0.00,N/A
144.21.48.154,4,3,0.25,254.70,0.00,N/A
129.150.53.218,4,3,0.25,255.62,0.00,N/A
138.2.81.71,4,3,0.25,257.58,0.00,N/A
141.144.196.32,4,3,0.25,261.03,0.00,N/A
141.147.114.60,4,3,0.25,262.89,0.00,N/A
132.226.131.86,4,3,0.25,265.69,0.00,N/A
141.147.71.121,4,3,0.25,268.91,0.00,N/A
132.145.81.117,4,3,0.25,309.60,0.00,N/A
132.226.234.102,4,3,0.25,311.75,0.00,N/A
152.67.125.174,4,3,0.25,317.19,0.00,N/A
152.70.232.72,4,3,0.25,336.15,0.00,N/A
144.24.140.37,4,3,0.25,385.54,0.00,N/A
141.147.168.141,4,2,0.50,123.36,0.00,N/A
131.186.58.30,4,2,0.50,128.21,0.00,N/A
141.147.173.90,4,2,0.50,130.59,0.00,N/A
193.123.166.233,4,2,0.50,135.19,0.00,N/A
138.3.212.226,4,2,0.50,142.19,0.00,N/A
150.230.218.53,4,2,0.50,147.08,0.00,N/A
150.230.209.171,4,2,0.50,148.93,0.00,N/A
130.61.124.127,4,2,0.50,170.01,0.00,N/A
192.9.250.241,4,2,0.50,178.20,0.00,N/A
152.70.51.3,4,2,0.50,231.32,0.00,N/A
141.148.237.42,4,2,0.50,237.53,0.00,N/A
