IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.229.113,4,4,0.00,100.63,0.00,N/A
172.64.229.218,4,4,0.00,101.51,0.00,N/A
162.159.3.4,4,4,0.00,101.54,0.00,N/A
162.159.49.118,4,4,0.00,102.78,0.00,N/A
162.159.49.33,4,4,0.00,103.11,0.00,N/A
172.64.229.126,4,4,0.00,103.65,0.00,N/A
162.159.36.208,4,4,0.00,103.81,0.00,N/A
162.159.48.21,4,4,0.00,104.60,0.00,N/A
162.159.34.190,4,4,0.00,104.67,0.00,N/A
172.64.38.201,4,4,0.00,104.69,0.00,N/A
162.159.60.87,4,4,0.00,104.93,0.00,N/A
172.64.38.44,4,4,0.00,105.96,0.00,N/A
162.159.34.34,4,4,0.00,106.21,0.00,N/A
198.41.223.72,4,4,0.00,106.31,0.00,N/A
108.162.193.145,4,4,0.00,106.64,0.00,N/A
162.159.34.0,4,4,0.00,106.90,0.00,N/A
162.159.42.210,4,4,0.00,107.03,0.00,N/A
162.159.46.194,4,4,0.00,107.65,0.00,N/A
162.159.60.167,4,4,0.00,107.74,0.00,N/A
162.159.6.18,4,4,0.00,108.02,0.00,N/A
172.64.153.94,4,4,0.00,108.43,0.00,N/A
172.64.34.237,4,4,0.00,108.51,0.00,N/A
108.162.198.203,4,4,0.00,108.52,0.00,N/A
162.159.48.207,4,4,0.00,108.63,0.00,N/A
162.159.62.111,4,4,0.00,108.69,0.00,N/A
162.159.50.160,4,4,0.00,108.77,0.00,N/A
8.39.125.107,4,4,0.00,109.32,0.00,N/A
8.39.125.213,4,4,0.00,109.43,0.00,N/A
162.159.38.104,4,4,0.00,109.43,0.00,N/A
172.64.53.37,4,4,0.00,109.49,0.00,N/A
172.64.149.5,4,4,0.00,109.49,0.00,N/A
162.159.45.159,4,4,0.00,109.60,0.00,N/A
162.159.45.205,4,4,0.00,109.65,0.00,N/A
8.39.125.68,4,4,0.00,109.66,0.00,N/A
162.159.38.210,4,4,0.00,109.67,0.00,N/A
108.162.198.174,4,4,0.00,109.79,0.00,N/A
172.64.52.116,4,4,0.00,109.86,0.00,N/A
162.159.38.168,4,4,0.00,110.02,0.00,N/A
162.159.39.77,4,4,0.00,110.11,0.00,N/A
172.64.52.94,4,4,0.00,110.14,0.00,N/A
108.162.198.118,4,4,0.00,110.55,0.00,N/A
162.159.45.246,4,4,0.00,110.55,0.00,N/A
162.159.39.123,4,4,0.00,110.57,0.00,N/A
162.159.44.244,4,4,0.00,110.64,0.00,N/A
172.64.52.46,4,4,0.00,110.65,0.00,N/A
172.64.52.14,4,4,0.00,110.66,0.00,N/A
172.64.53.204,4,4,0.00,110.69,0.00,N/A
162.159.44.14,4,4,0.00,110.70,0.00,N/A
172.64.53.231,4,4,0.00,110.70,0.00,N/A
162.159.43.100,4,4,0.00,110.73,0.00,N/A
172.64.53.1,4,4,0.00,110.82,0.00,N/A
172.64.158.214,4,4,0.00,111.06,0.00,N/A
162.159.38.228,4,4,0.00,111.24,0.00,N/A
162.159.48.210,4,4,0.00,111.30,0.00,N/A
162.159.44.175,4,4,0.00,111.53,0.00,N/A
162.159.39.38,4,4,0.00,111.57,0.00,N/A
162.159.17.159,4,4,0.00,111.67,0.00,N/A
172.64.34.42,4,4,0.00,111.87,0.00,N/A
162.159.44.235,4,4,0.00,112.10,0.00,N/A
172.64.145.196,4,4,0.00,112.16,0.00,N/A
162.159.45.234,4,4,0.00,112.17,0.00,N/A
108.162.198.11,4,4,0.00,112.46,0.00,N/A
162.159.62.110,4,4,0.00,112.48,0.00,N/A
162.159.5.140,4,4,0.00,112.57,0.00,N/A
108.162.193.162,4,4,0.00,112.66,0.00,N/A
108.162.198.37,4,4,0.00,112.74,0.00,N/A
162.159.39.233,4,4,0.00,112.93,0.00,N/A
108.162.192.186,4,4,0.00,113.06,0.00,N/A
108.162.193.237,4,4,0.00,113.30,0.00,N/A
162.159.45.159,4,4,0.00,113.34,0.00,N/A
162.159.38.7,4,4,0.00,113.45,0.00,N/A
172.64.53.36,4,4,0.00,113.47,0.00,N/A
172.64.34.3,4,4,0.00,113.53,0.00,N/A
172.64.153.246,4,4,0.00,114.26,0.00,N/A
162.159.60.178,4,4,0.00,114.38,0.00,N/A
162.159.39.230,4,4,0.00,114.52,0.00,N/A
162.159.58.33,4,4,0.00,114.76,0.00,N/A
162.159.48.247,4,4,0.00,114.77,0.00,N/A
162.159.36.239,4,4,0.00,114.83,0.00,N/A
172.64.42.146,4,4,0.00,114.84,0.00,N/A
162.159.5.173,4,4,0.00,115.10,0.00,N/A
162.159.49.142,4,4,0.00,115.13,0.00,N/A
162.159.3.127,4,4,0.00,115.38,0.00,N/A
162.159.3.88,4,4,0.00,115.64,0.00,N/A
104.18.38.39,4,4,0.00,116.27,0.00,N/A
108.162.192.80,4,4,0.00,116.36,0.00,N/A
162.159.46.100,4,4,0.00,116.52,0.00,N/A
172.64.41.17,4,4,0.00,116.65,0.00,N/A
104.18.38.218,4,4,0.00,116.69,0.00,N/A
162.159.43.17,4,4,0.00,116.95,0.00,N/A
172.64.34.101,4,4,0.00,117.00,0.00,N/A
172.64.42.231,4,4,0.00,117.02,0.00,N/A
162.159.36.85,4,4,0.00,117.23,0.00,N/A
172.64.153.169,4,4,0.00,117.43,0.00,N/A
172.64.34.175,4,4,0.00,117.70,0.00,N/A
162.159.48.109,4,4,0.00,117.72,0.00,N/A
172.64.156.237,4,4,0.00,117.81,0.00,N/A
172.64.148.120,4,4,0.00,118.16,0.00,N/A
8.39.125.234,4,4,0.00,118.55,0.00,N/A
162.159.4.17,4,4,0.00,118.81,0.00,N/A
8.39.125.215,4,4,0.00,118.87,0.00,N/A
162.159.58.149,4,4,0.00,118.90,0.00,N/A
162.159.5.9,4,4,0.00,118.94,0.00,N/A
162.159.3.170,4,4,0.00,119.03,0.00,N/A
162.159.49.231,4,4,0.00,119.09,0.00,N/A
162.159.62.199,4,4,0.00,119.31,0.00,N/A
162.159.5.178,4,4,0.00,119.35,0.00,N/A
172.64.42.78,4,4,0.00,119.60,0.00,N/A
162.159.44.12,4,4,0.00,119.63,0.00,N/A
