IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.38.184,4,4,0.00,102.23,125.63,SIN
104.18.38.42,4,4,0.00,108.96,125.54,SIN
104.18.47.187,4,4,0.00,103.66,125.13,SIN
104.18.38.97,4,4,0.00,106.43,123.47,SIN
104.18.38.54,4,4,0.00,106.98,121.75,SIN
8.35.211.6,4,4,0.00,108.58,120.70,SIN
8.35.211.216,4,4,0.00,105.33,119.77,SIN
104.18.38.231,4,4,0.00,107.88,119.00,SIN
8.35.211.254,4,4,0.00,106.63,112.21,SIN
172.64.229.240,4,3,0.25,98.65,106.23,NRT
172.64.229.221,4,4,0.00,97.97,106.18,NRT
172.64.229.235,4,4,0.00,98.48,105.04,NRT
172.64.229.244,4,3,0.25,98.03,104.97,NRT
172.64.229.239,4,4,0.00,97.99,104.79,NRT
172.64.229.237,4,4,0.00,97.81,100.78,NRT
104.18.38.56,4,4,0.00,107.71,100.37,SIN
104.18.38.15,4,4,0.00,106.70,99.65,SIN
172.64.151.43,4,4,0.00,106.30,97.40,SIN
8.35.211.212,4,4,0.00,111.89,96.51,SIN
8.35.211.5,4,4,0.00,105.05,96.08,SIN
8.35.211.114,4,4,0.00,105.00,95.00,SIN
8.35.211.49,4,4,0.00,103.68,94.67,SIN
172.64.229.231,4,3,0.25,98.66,94.31,NRT
8.35.211.109,4,4,0.00,106.44,94.25,SIN
172.64.144.79,4,4,0.00,102.36,94.17,SIN
172.64.229.246,4,4,0.00,98.55,90.71,NRT
104.18.38.214,4,4,0.00,109.46,90.52,SIN
162.159.62.231,4,4,0.00,103.91,0.00,N/A
162.159.34.6,4,4,0.00,106.44,0.00,N/A
162.159.34.136,4,4,0.00,107.01,0.00,N/A
162.159.49.103,4,4,0.00,107.13,0.00,N/A
172.64.42.204,4,4,0.00,107.37,0.00,N/A
172.64.40.97,4,4,0.00,106.20,0.00,N/A
108.162.192.86,4,4,0.00,106.17,0.00,N/A
108.162.192.157,4,4,0.00,108.01,0.00,N/A
162.159.3.47,4,4,0.00,108.07,0.00,N/A
172.64.34.9,4,4,0.00,108.10,0.00,N/A
162.159.3.63,4,4,0.00,108.53,0.00,N/A
108.162.193.214,4,4,0.00,105.29,0.00,N/A
172.64.41.50,4,4,0.00,105.17,0.00,N/A
162.159.48.218,4,4,0.00,109.28,0.00,N/A
162.159.5.20,4,4,0.00,104.56,0.00,N/A
162.159.11.57,4,4,0.00,109.49,0.00,N/A
162.159.49.55,4,4,0.00,109.86,0.00,N/A
172.64.42.66,4,4,0.00,110.31,0.00,N/A
172.64.41.12,4,4,0.00,111.72,0.00,N/A
162.159.62.139,4,4,0.00,104.47,0.00,N/A
162.159.48.5,4,4,0.00,102.45,0.00,N/A
162.159.43.217,4,4,0.00,101.45,0.00,N/A
162.159.5.219,4,4,0.00,100.35,0.00,N/A
