cf-pool /24 滚动统计（第 29 轮，窗口 21 轮）
======================================================================
/24                 落地      入池   候选  优先    最延迟ms    最速度MB
172.64.229.0/24     NRT    406 55681031     87.5    126.4
8.35.211.0/24       SIN    196 6760 494     97.0    126.5
104.18.38.0/24      SIN    166 5842 441     98.2    125.6
8.39.125.0/24       SIN    106 1139 590     99.1    121.0
172.64.153.0/24     SIN     67  661 365     99.6    121.3
172.64.145.0/24     SIN     53  762 371     99.4    124.9
172.64.158.0/24     SIN     51  998 426    100.5    114.5
162.159.46.0/24     SIN     50  799 432     97.5      0.0
162.159.43.0/24     SIN     47  778 427     98.8      0.0
108.162.193.0/24    SIN     44 1272 400     98.7      0.0
162.159.60.0/24     SIN     42  777 393     99.0      0.0
172.64.38.0/24      SIN     42  753 364     99.1      0.0
172.64.34.0/24      SIN     37  776 389     99.2      0.0
162.159.48.0/24     SIN     32  778 416     98.5      0.0
162.159.49.0/24     SIN     32  765 416     99.5      0.0
162.159.34.0/24     SIN     31  783 475     98.9      0.0
162.159.58.0/24     SIN     31  771 464     98.9      0.0
162.159.45.0/24     NRT     31  239 163    109.1      0.0
162.159.5.0/24      SIN     26  789 427     98.7      0.0
172.64.42.0/24      SIN     23  758 418     98.3      0.0
162.159.36.0/24     SIN     22  775 456     99.7      0.0
108.162.192.0/24    SIN     20  778 456    100.3      0.0
172.64.41.0/24      SIN     19  785 439     99.0      0.0
162.159.38.0/24     NRT     17  147 107    109.1      0.0
108.162.198.0/24    NRT     16  117  87    108.5      0.0
162.159.3.0/24      SIN     13  738 408     99.0      0.0
104.18.33.0/24      SIN     13   66  42    101.1    117.9
162.159.39.0/24     NRT     12  120  89    109.3      0.0
172.64.53.0/24      NRT     12  115  86    109.0      0.0
162.159.62.0/24     SIN     11  486 269    101.3      0.0

热/24: 166 | 已验证非官方段: 8 | 追踪/24 总数: 2722
